127.0.0.1 - - [18/Apr/2015:03:48:06 +0700] "GET / HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:48:10 +0700] "GET /sia/ HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:48:32 +0700] "GET /sia/ HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:48:50 +0700] "GET /sia/semester HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:02 +0700] "GET /semester HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:07 +0700] "GET /sia/semester HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/semester/ HTTP/1.1" 200 9723
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/css/sia.css HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/jquery.datatables/media/css/jquery.dataTables.min.css HTTP/1.1" 200 15353
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/css/site.min.css HTTP/1.1" 200 174594
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/jquery.datatables/extensions/ColVis/css/dataTables.colVis.min.css HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/gritter/css/jquery.gritter.css HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/jquery.datatables/extensions/TableTools/css/dataTables.tableTools.min.css HTTP/1.1" 200 6695
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/js/site.min.js HTTP/1.1" 200 142820
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/jquery.datatables/media/js/jquery.dataTables.min.js HTTP/1.1" 200 79457
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/jquery.datatables/extensions/TableTools/js/dataTables.tableTools.min.js HTTP/1.1" 200 31850
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/jquery.datatables/extensions/ColVis/js/dataTables.colVis.min.js HTTP/1.1" 200 10109
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/gritter/js/jquery.gritter.js HTTP/1.1" 200 11231
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/jquery-validation/jquery.validate.min.js HTTP/1.1" 200 21933
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/js/jquery.blockui.js HTTP/1.1" 200 19274
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/js/jquery.masterpage.sia.js HTTP/1.1" 200 22119
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/img/logo.png HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:18 +0700] "GET /sia/resources/img/wild_flowers.png HTTP/1.1" 200 20905
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:23 +0700] "GET /sia/resources/bootflat/img/check_flat/default.png HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:23 +0700] "GET /sia/resources/jquery.datatables/media/images/sort_both.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:23 +0700] "GET /sia/resources/jquery.datatables/extensions/TableTools/swf/copy_csv_xls_pdf.swf HTTP/1.1" 200 58846
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:24 +0700] "GET /sia/resources/jquery.datatables/extensions/TableTools/swf/copy_csv_xls_pdf.swf HTTP/1.1" 200 58846
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:24 +0700] "POST /sia/semester/json HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:24 +0700] "GET /sia/resources/jquery.datatables/extensions/TableTools/swf/copy_csv_xls_pdf.swf HTTP/1.1" 200 58846
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:24 +0700] "GET /sia/resources/jquery.datatables/extensions/TableTools/swf/copy_csv_xls_pdf.swf HTTP/1.1" 200 58846
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:49:24 +0700] "GET /sia/resources/jquery.datatables/media/images/sort_desc.png HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:50:01 +0700] "GET /sia/resources/img/loading.gif HTTP/1.1" 200 2906
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:50:01 +0700] "POST /sia/semester/simpan HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:50:01 +0700] "GET /sia/resources/gritter/images/ie-spacer.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:50:01 +0700] "GET /sia/resources/gritter/images/gritter.png HTTP/1.1" 200 4880
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:50:01 +0700] "POST /sia/semester/json HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:53:27 +0700] "POST /sia/semester/deletemany HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:53:27 +0700] "POST /sia/semester/json HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:53:31 +0700] "POST /sia/semester/json HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:53:51 +0700] "GET /sia/semester/JSON HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:53:57 +0700] "GET /sia/semester/json HTTP/1.1" 405 1088
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:54:22 +0700] "GET /sia/semester/JSON HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Apr/2015:03:54:25 +0700] "POST /sia/semester/json HTTP/1.1" 200 157
