127.0.0.1 - - [05/May/2015:00:02:52 +0700] "GET / HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:53 +0700] "GET /modul/ HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:54 +0700] "GET /modul/kurikulum/ HTTP/1.1" 200 13243
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:54 +0700] "GET /modul/resources/css/sia.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:54 +0700] "GET /modul/resources/jquery.datatables/extensions/ColVis/css/dataTables.colVis.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:54 +0700] "GET /modul/resources/jquery.datatables/media/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:54 +0700] "GET /modul/resources/js/site.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:54 +0700] "GET /modul/resources/jquery.datatables/extensions/ColVis/js/dataTables.colVis.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:54 +0700] "GET /modul/resources/gritter/css/jquery.gritter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:54 +0700] "GET /modul/resources/jquery.datatables/extensions/TableTools/css/dataTables.tableTools.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:54 +0700] "GET /modul/resources/jquery.datatables/media/css/jquery.dataTables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:55 +0700] "GET /modul/resources/css/site.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:55 +0700] "GET /modul/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:55 +0700] "GET /modul/resources/gritter/js/jquery.gritter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:55 +0700] "GET /modul/resources/js/jquery.masterpage.sia.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:55 +0700] "GET /modul/resources/jquery.datatables/extensions/TableTools/js/dataTables.tableTools.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:55 +0700] "GET /modul/resources/js/jquery.blockui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:55 +0700] "GET /modul/resources/jquery-validation/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:55 +0700] "GET /modul/resources/img/wild_flowers.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:55 +0700] "GET /modul/resources/bootflat/img/check_flat/default.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:55 +0700] "GET /modul/resources/jquery.datatables/media/images/sort_both.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:56 +0700] "POST /modul/kurikulum/json HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/kurikulum/ HTTP/1.1" 200 13243
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/css/site.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/css/sia.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/jquery.datatables/media/css/jquery.dataTables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/jquery.datatables/media/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/jquery.datatables/extensions/TableTools/css/dataTables.tableTools.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/jquery.datatables/extensions/ColVis/css/dataTables.colVis.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/jquery.datatables/extensions/TableTools/js/dataTables.tableTools.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/gritter/css/jquery.gritter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/jquery.datatables/extensions/ColVis/js/dataTables.colVis.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/gritter/js/jquery.gritter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/js/site.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/js/jquery.masterpage.sia.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/js/jquery.blockui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/jquery-validation/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/img/wild_flowers.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/bootflat/img/check_flat/default.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/jquery.datatables/media/images/sort_both.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "POST /modul/kurikulum/json HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [05/May/2015:00:02:58 +0700] "GET /modul/resources/favicon_16.ico HTTP/1.1" 304 -
